site_no,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_meth_cd,coord_acy_cd,coord_datum_cd,dec_coord_datum_cd,district_cd,state_cd,county_cd,country_cd,land_net_ds,map_nm,map_scale_fc,alt_va,alt_meth_cd,alt_acy_va,alt_datum_cd,huc_cd,basin_cd,topo_cd,data_types_cd,instruments_cd,construction_dt,inventory_dt,tz_cd,local_time_fg,reliability_cd,gw_file_cd,nat_aqfr_cd,aqfr_cd,aqfr_type_cd,well_depth_va,hole_depth_va,depth_src_cd,project_no,rt_bol,peak_begin_date,peak_end_date,peak_count_nu,qw_begin_date,qw_end_date,qw_count_nu,gw_begin_date,gw_end_date,gw_count_nu,sv_begin_date,sv_end_date,sv_count_nu
425210088291301,425210088291301,WK-05/17E/28-0249,GW,42.8694564,-88.4870431,M,F,NAD27,NAD83,55,55,133,US,SWNENES28 T005N R017E 4,EAST TROY,24000,954.0,M,5.0,NGVD29,7120006,,U,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19650601.0,,CST,Y,C,YYYYNNNN,S300CAMORD,362MQKS,,212.0,212.0,D,,0,--,--,0,1972-12-14,1972-12-14,1,1965-06-01,1965-06-01,1,--,--,0
425245088274701,425245088274701,WK-05/17E/23-1232,GW,42.8791787,-88.4631536,M,S,NAD27,NAD83,55,55,133,US,SWSWNWS23 T005N R017E 4,EAGLE,24000,925.0,M,5.0,NGVD29,7120006,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19791115.0,,CST,Y,C,YYYNNYNN,,300SNDSA,X,1350.0,1350.0,D,445509700.0,0,--,--,0,1980-05-28,1980-06-04,4,1979-11-15,1980-05-20,2,--,--,0
425250088283301,425250088283301,WK-05/17E/22-0117,GW,42.88056745,-88.4759317,M,F,NAD27,NAD83,55,55,133,US,SWSWNES22 T005N R017E 4,EAGLE,24000,949.0,M,5.0,NGVD29,7120006,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19520101.0,,CST,Y,C,YYYYNYNN,,300SNDSA,,880.0,880.0,D,,0,--,--,0,1962-06-07,1972-06-06,4,1952-08-01,1974-01-16,6,--,--,0
425329088225701,425329088225701,WK-05/18E/16-1240,GW,42.8914015,-88.3825957,M,S,NAD27,NAD83,55,55,133,US,  NESWS16 T005N R018E 4,EAGLE,24000,940.0,M,5.0,NGVD29,7120006,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,CST,Y,U,YYYYNNNN,,,,715.0,715.0,,,0,--,--,0,--,--,0,1981-09-19,1981-09-19,1,--,--,0
425352088240101,425352088240101,5N18E-17.5f,GW,42.89669444,-88.3993333,G,1,NAD83,NAD83,17,55,133,US,  SENWS17 T5N   R18N,"EAGLE, WI",24000,930.0,M,10.0,NGVD29,7120006,,F,NNNANNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19900515.0,20010316.0,CST,N,C,YYNYNYNN,N100GLCIAL,110QRNR,N,47.0,47.0,D,441711200.0,0,--,--,0,2001-04-04,2001-04-04,2,1990-05-15,1990-05-15,1,--,--,0
425402088241601,425402088241601,5N18E-17.8h,GW,42.9007222,-88.4045,G,1,NAD83,NAD83,17,55,133,US,NWNWNWS17 T5N   R18E,"EAGLE, WI",24000,960.0,M,1.0,NGVD29,7120006,,U,NNNANNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19990831.0,,CST,N,C,YYNYNYNN,N100GLCIAL,110QRNR,U,49.1,49.6,S,441711200.0,0,--,--,0,2000-05-03,2010-07-14,8,2000-02-07,2015-05-12,10,--,--,0
425509088271201,425509088271201,WK-05/17E/02-0882,GW,42.91917805,-88.453431,M,F,NAD27,NAD83,55,55,133,US,SWNESES02 T005N R017E 4,EAGLE,24000,982.0,M,5.0,NGVD29,7120006,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19700504.0,,CST,Y,C,YYYYNYNN,N400SLRDVN,350SLRN,,189.0,189.0,D,,0,--,--,0,1972-12-13,1972-12-13,1,1970-05-04,1972-12-13,2,--,--,0
425603088242201,425603088242201,WK-06/18E/31-0209,GW,42.9341782,-88.4062076,M,F,NAD27,NAD83,55,55,133,US,NESESES31 T006N R018E 4,EAGLE,24000,946.0,M,5.0,NGVD29,7120006,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,CST,Y,C,YYYYNYNN,N400SLRDVN,,,120.0,120.0,,,0,--,--,0,--,--,0,1962-02-01,1966-09-21,4,--,--,0
425606088243501,425606088243501,WK-06/18E/31-0884,GW,42.9350115,-88.40981879,M,F,NAD27,NAD83,55,55,133,US,SWNESES31 T006N R018E 4,EAGLE,24000,950.0,M,5.0,NGVD29,7120006,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19670602.0,,CST,Y,C,YYYYNYNN,N100GLCIAL,110QRNR,,52.0,52.0,D,,0,--,--,0,1973-01-02,1973-01-02,1,1967-06-02,1973-01-02,2,--,--,0
425615088241701,425615088241701,WK-06/18E/32-0641,GW,42.9375115,-88.4048187,M,F,NAD27,NAD83,55,55,133,US,NWNWSWS32 T006N R018E 4,EAGLE,24000,953.0,M,5.0,NGVD29,7120006,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19651001.0,,CST,Y,C,YYYYNYNN,N400SLRDVN,350SLRN,,188.0,188.0,D,,0,--,--,0,1972-12-26,1972-12-26,1,1965-10-05,1972-12-26,2,--,--,0
425619088260701,425619088260701,WK-06/17E/36-0381,GW,42.9386223,-88.435375,M,F,NAD27,NAD83,55,55,133,US,SESENWS36 T006N R017E 4,EAGLE,24000,985.0,M,5.0,NGVD29,7120006,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,CST,Y,C,YYYYNNNN,N400SLRDVN,,,122.0,122.0,,,0,--,--,0,--,--,0,1963-04-11,1963-04-11,1,--,--,0
425713088262501,425713088262501,WK-06/17E/25-0379,GW,42.95362197,-88.4403752,M,F,NAD27,NAD83,55,55,133,US,SESWNWS25 T006N R017E 4,EAGLE,24000,1018.0,M,5.0,NGVD29,7120006,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19620801.0,,CST,Y,C,YYYYNYNN,N100GLCIAL,110QRNR,,93.0,93.0,D,,0,--,--,0,1972-12-19,1972-12-19,1,1962-08-07,1972-12-18,2,--,--,0
